[00:14:59] [Server thread/INFO]: Made ollop78 a server operator
[00:15:07] [Server thread/INFO]: ollop78 issued server command: /gamemode creative
[00:15:07] [Server thread/INFO]: [ollop78: Set own game mode to Creative Mode]
[00:15:17] [Server thread/INFO]: ollop78 issued server command: /gamemode survival
[00:15:17] [Server thread/INFO]: [ollop78: Set own game mode to Survival Mode]
[00:16:35] [Server thread/INFO]: ollop78 issued server command: /seed
[00:16:47] [Server thread/INFO]: ollop78 issued server command: /deop ollop78
[00:16:47] [Server thread/INFO]: [ollop78: Made ollop78 no longer a server operator]
[00:17:21] [Server thread/INFO]: Villager Villager['Villager'/39746, uuid='12fe1b34-c62d-480d-966e-75a79567b670', l='ServerLevel[world]', x=2228.11, y=61.00, z=-389.57, cpos=[139, -25], tl=339200, v=true] died, message: 'Villager was squished too much'
[00:24:58] [Server thread/INFO]: Villager Villager['Villager'/39810, uuid='48ae2bbf-cffb-4956-92c2-0d07faa135a2', l='ServerLevel[world]', x=2232.51, y=91.00, z=-317.46, cpos=[139, -20], tl=377538, v=true] died, message: 'Villager was slain by Zombie'
[00:25:08] [Server thread/INFO]: Villager Villager['Villager'/39809, uuid='429aa611-e39f-4477-bfca-6e5f9f162b88', l='ServerLevel[world]', x=2232.40, y=91.00, z=-317.70, cpos=[139, -20], tl=377744, v=true] died, message: 'Villager was slain by Zombie'
[00:25:14] [Server thread/INFO]: Villager Villager['Villager'/39808, uuid='7d64fc95-ec00-4899-974c-81f60188d441', l='ServerLevel[world]', x=2234.70, y=91.00, z=-317.30, cpos=[139, -20], tl=377863, v=true] died, message: 'Villager was slain by Zombie Villager'
[00:25:20] [Server thread/INFO]: Villager Villager['Villager'/39811, uuid='c43ca97e-b47d-47cb-92d3-bfd8e18f145c', l='ServerLevel[world]', x=2232.84, y=91.00, z=-317.70, cpos=[139, -20], tl=377976, v=true] died, message: 'Villager was slain by Zombie Villager'
[01:17:30] [Server thread/INFO]: Villager Villager['Villager'/39761, uuid='c2c47274-7fad-49f4-960a-a305875702d3', l='ServerLevel[world]', x=2228.12, y=61.00, z=-389.70, cpos=[139, -25], tl=86410, v=true] died, message: 'Villager was squished too much'
[01:20:31] [Server thread/INFO]: Villager Villager['Villager'/39775, uuid='45382d9a-a722-45a4-84ac-6b73778152ed', l='ServerLevel[world]', x=2228.15, y=61.00, z=-389.30, cpos=[139, -25], tl=83226, v=true] died, message: 'Villager was squished too much'
[01:31:05] [Server thread/INFO]: Villager Villager['Villager'/45143, uuid='64cf6d7f-c383-40cd-9913-1b91885e1e71', l='ServerLevel[world]', x=2228.15, y=61.00, z=-389.30, cpos=[139, -25], tl=45665, v=true] died, message: 'Villager was squished too much'
[01:40:01] [Server thread/INFO]: Villager Villager['Villager'/43335, uuid='9b1c1cb6-4f51-4cff-8f70-64bcd408a6cb', l='ServerLevel[world]', x=2228.23, y=61.00, z=-389.70, cpos=[139, -25], tl=74037, v=true] died, message: 'Villager was squished too much'
[01:47:30] [Server thread/INFO]: Villager Villager['Villager'/47610, uuid='94671bf1-ec2c-49e5-b969-07682e4b1d50', l='ServerLevel[world]', x=2228.13, y=61.00, z=-389.70, cpos=[139, -25], tl=41240, v=true] died, message: 'Villager was squished too much'
[01:56:06] [Server thread/INFO]: Villager Villager['Villager'/45809, uuid='8aee8150-1e3f-4a9f-8833-0b0f4203cbdb', l='ServerLevel[world]', x=2228.15, y=61.00, z=-389.30, cpos=[139, -25], tl=69350, v=true] died, message: 'Villager was squished too much'
[02:11:44] [Server thread/INFO]: Villager Villager['Villager'/39737, uuid='f834b3d5-5eeb-4470-ae54-caf5e7683b3c', l='ServerLevel[world]', x=2228.11, y=61.00, z=-389.57, cpos=[139, -25], tl=277252, v=true] died, message: 'Villager was squished too much'
[02:20:20] [Server thread/INFO]: Villager Villager['Villager'/52354, uuid='3aa09687-2947-439b-a0e4-ae7789d67239', l='ServerLevel[world]', x=2228.22, y=61.00, z=-389.30, cpos=[139, -25], tl=32771, v=true] died, message: 'Villager was squished too much'
[02:26:21] [Server thread/INFO]: Villager Villager['Villager'/49979, uuid='7091e168-93a3-4a71-9c02-c82073145758', l='ServerLevel[world]', x=2228.19, y=61.00, z=-389.52, cpos=[139, -25], tl=63930, v=true] died, message: 'Villager was squished too much'
[02:30:33] [Server thread/INFO]: Villager Villager['Villager'/50633, uuid='a26b5ea6-9145-4e2a-908c-517d0521fe2c', l='ServerLevel[world]', x=2228.10, y=61.00, z=-389.51, cpos=[139, -25], tl=62581, v=true] died, message: 'Villager was squished too much'
[02:43:48] [Server thread/INFO]: Villager Villager['Villager'/53249, uuid='04fe458a-d00e-4680-a0a0-8922535b056e', l='ServerLevel[world]', x=2228.14, y=61.00, z=-389.70, cpos=[139, -25], tl=52023, v=true] died, message: 'Villager was squished too much'
[02:55:17] [Server thread/INFO]: Villager Villager['Villager'/54717, uuid='e98a843b-d50c-4f9f-bcb4-c4abaf4d5bf4', l='ServerLevel[world]', x=2228.11, y=61.00, z=-389.70, cpos=[139, -25], tl=50740, v=true] died, message: 'Villager was squished too much'
